label,message
0,purity friendship two smiling reading forwarded messageits smiling seeing name gud evng
0,shoot im doc waiting room
1,thanks continued support question week enter u draw â£ cash name new u president txt an
0,r ã¼ going send
1,urgent nd attempt contact uu â£ call b tcsbcmwcnxx callcost ppm mobilesvary maxâ£
0,babe fucking love know fuck good hear voice need crave cant get enough adore ahmad kiss
0,erm â¦ ill pick pm thatll give enough time get park
0,u dun drive go sch
0,beautiful truth gravity read carefully heart feel light someone feel heavy someone leaf goodmorning
1,cash prize claim call tc rstm sw s ppm
0,think da wil
0,u horrible gal u knew dat going wif yest n u still come n ask
1,sim subscriber selected receive bonus get delivered door txt word ok claim pmsg exp apr
0,shower baby
0,yup hey one day fri ask miwa jiayin take leave go karaoke
0,exwife able kid want kid one day
1,wamma get laidwant real doggin location sent direct mobile join uk largest dogging network txt dog nownyt eca lp â£msg
0,nothing meant money enters account bank remove flat rate someone transfered ltgt account ltgt dollar got removed bank differ charge also differbe sure trust ja person sending account detail co
0,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom
0,prof passed paper sem congrats student enna kalaachutaarama prof gud mrng
0,work ah den plus lor u workin oso rite den go orchard lor place go liao
0,yay finally lol missed cinema trip last week
0,ã home work meh
0,nothis kallis home groundamla home town durban
0,havent
0,probably wont eat today think im gonna pop weekend u miss
0,dont worry guess he busy
0,thing change sentence want concentrate educational career im leaving
0,congrats kanowhr treat maga
0,sorry trouble u buy dad big small sat n sun thanx
1,thanks ringtone order reference number x mobile charged tone arrive please call customer service
1,hi ibh customer loyalty offer new nokia mobile â£ txtauctiontxt wordstart get nowt
0,k wat tht incident
0,flippin shit yet
0,hows ur paper
0,yes princess want please every night wish command
0,whenre guy getting back g said thinking staying mcr
1,contract mobile mnths latest motorola nokia etc free double min text orange tariff text yes callback remove record
0,excellent wish together right
1,valued customer pleased advise following recent review mob awarded â£ bonus prize call
0,hey almost forgot happy bday babe love ya
0,im home ard wat time u reach
0,sometimes put wall around heartsnot safe getting hurt find care enough break wall amp get closer goodnoon
0,u dont remember old commercial
0,co shopping wif darren jus n called ask wat present wan lor started guessing wif n finally guessed darren lor
0,anything lor u decide
0,sorry vikky im watching olave mandara movie kano trishul theatre wit frnds
0,ok tell stay yeah tough optimistic thing improve month
0,dude like buff wind
0,happy new year princess
0,alright thanks advice enjoy night ima try get sleep
0,ok later showing around want cld drink wld prefer spend money nosh dont mind nxt wk
0,sef dey laugh meanwhile hows darling anjie
0,fuck babe miss sooooo much wish sleep bed lonely go sleep dream love
0,nothing smsing u n xy lor sorry lor da guy neva c u person sort know u lor u wan meet xy ask bring u along next meeting
0,schedule next week town weekend
0,ah well confuses thing doesnât
0,hi kate u give ring asap xxx
0,dont run away frm u walk slowly amp kill u dont care enough stop
0,convey regard
0,yeah wouldnt leave hour least hows sound
0,ujhhhhhhh computer shipped address sandiago parantella lane wtf poop
0,yes princess toledo
0,say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls
0,im done oredi
0,watching telugu moviewat abt u
0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
0,hey elaine today meeting still
0,good evening sir hope nice day wanted bring notice late paying rent past month pay ltgt charge felt would inconsiderate nag something give great cost thats didnt speak however recession wont able pay charge month hence askin well ahead month end please help thank everything
0,shall start hear
0,u download fring app
0,yar lor keep raining non stop u wan go elsewhere
0,total disappointment texted craziest shit got
1,ur awarded city break could win â£ summer shopping spree every wk txt store skilgmetscswinawkageâ£perwksub
0,sorry battery died come im getting gram wheres place
1,congrats mobile g videophones r call videochat wid ur mate play java game dload polyh music noline rentl bx ip pm
0,whore unbelievable
0,ã say like dat dun buy ericsson oso cannot oredi lar
1,ringtone club gr new polys direct mobile every week
0,headin towards busetop
0,sent jd customer service cum account executive ur mail id detail contact u
0,aight ill get fb couple minute
1,u secret admirer reveal think u r special call opt reply reveal stop per msg recd cust care
0,emailed yifeng part oredi ã¼ get fr
0,im late tellmiss im way
0,tell said eat shit
0,meant say cant wait see u getting bored bridgwater banter
0,lol busy
0,dude got haircut breezy
0,sorryin meeting ill call later
1,winner specially selected receive â£ cash â£ award speak live operator claim call ampm cost p
0,new year eve ok went party boyfriend si hey
0,looked addie go back monday suck
0,boooo always work quit
0,rushing im working im school rush go hungry
0,look like u wil b getting headstart im leaving bout ish u r desperate company could head earlierwe goin meet rummer
0,ur lecture
0,iâm going try month ha ha joking
0,much getting
0,ltgt fast approaching wish u happy new year happy sankranti happy republic day happy valentine day happy shivratri happy ugadi happy fool day happy may day happy independence day happy friendshipmotherfatherteacherschildrens day amp happy birthday u happy ganesh festival happy dasara happy diwali happy christmas ltgt good morning afternoon evening night rememberi first wishing u theseyours raj
0,make baby yo tho
0,damn make tonight want wait til tomorrow
0,hey told name gautham ah
0,asked hows anthony dad bf
0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer
0,didnt get ur full msgsometext missing send
0,dun thk ill quit yet hmmm go jazz yogasana oso go meet em lesson den
0,know im lacking particular dramastorms detail part im worried
0,said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife
0,otherwise part time job natuition
1,hi im sue year old work lapdancer love sex text live im bedroom text sue textoperator g da ppmsg
0,cause im freaky lol
1,sport fan get latest sport news str ur mobile wk free plus free tone txt sport wwwgetzedcouk norm txtp
0,take exam march
0,cant pick phone right pls send message
0,ltgt great loxahatchee xmas tree burning update totally see star
0,show wot say could u c dust
0,thats rude campus
0,latebut kwish
1,hi sexychat girl waiting text text great night chatting send stop stop service
0,pls go ahead watt wanted sure great weekend abiola
0,u workin overtime nigpun
0,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt
0,dad went oredi
0,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom
0,package program well
0,swt thought nver get tired little thing lovable person cozsomtimes little thing occupy biggest part heart gud ni
0,oh kafter placement ah
0,play w computer aiyah tok u lor
0,tell pa pain de
1,urgent mobile number â£ bonus caller prize nd attempt reach call asap box nqp ppm
0,made payment dont much sorry would want fedex way
1,reminder get pound free call credit detail great offer pls reply text valid name house postcode
0,ive reached sch already
0,yeah dont go bed ill back midnight
0,supposed meet discus abt trip thought xuhui told afternoon thought go lesson
0,good morning repair shopthe reason im hour
0,good morning dear shijutta great amp successful day
0,gonna go get taco
0,purity friendship two smiling reading forwarded messageits smiling seeing name gud evng
1,would like see xxx pic hot nearly banned uk
0,r outside already
0,ha ha cool cool chikku chikkudb
0,whatever juliana whatever want
0,noi got rumour going buy apartment chennai
1,dating service asked contact u someone shy call revealed pobox uz p
0,told accenture confirm true
0,haha dont angry take practice real thing
0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
0,amazing rearrange letter give meaning dormitory dirty room astronomer moon starer eye see election result lie let recount motherinlaw woman hitler eleven plus two twelve plus one amazing
0,oh thanks loti already bought egg
0,said look pretty wif long hair wat thk he cutting quite short leh
0,probably want pick
0,wont wats wit guy
0,wan early lei outside wun b home early neva mind
0,ive got ten buck jay noncomittal
0,hi moved pub would great c u u cud come
0,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tisscotayseer
0,wiskey brandy rum gin beer vodka scotch shampain wine kudiyarasu dhina vaazhthukkal
0,late
0,entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went
0,hello little party animal thought id buzz friend grin reminding loved send naughty adoring kiss
0,yes please swimming
0,train back northampton im afraid
0,happy new year u
0,hi dis yijue would happy work wif ã¼ gek
0,ball moving lotwill spin last difficult bat
0,im movie collect car oredi
0,busy come point figure tomorrow
0,orh tot u say still dun believe
0,said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife
0,best watch say cause get drunk motherfucker
0,get free call
0,reckon need town eightish walk carpark
0,detroit home snow enjoy
0,right meanwhile hows project twin comin
0,aft finish lunch go str lor ard smth lor u finish ur lunch already
1,winner valued network customer selected receivea â£ prize reward claim call claim code kl valid hour
0,im bus love
0,need drug anymore
0,clothes jewelry trip
0,yes dont care need bad princess
0,also hi wesley howve
0,tonight mate catching sleep new number way
0,tuesday night r u real
0,toshiba portege gd
0,awesome think get th usf time tonight
0,ltgt pple marry lover becz hav gud undrstndng dat avoids problem sent dis u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send ltgt frnds ltgt min whn u read
0,r ã¼ going today meeting
0,umma life vava umma love lot dear
0,tell friend plan valentine day lturlgt
0,project pa come
0,call ure done
0,u studying sch going home anyway ill b going sch later
0,ha ha ha good joke girl situation seeker
0,alright took morphine back yo
0,way im going back
0,think mentor percent sure
0,watching surya movie pm vijay movie pokkiri
0,drama plsi enough family struggling hot sun strange placeno reason ego going invited actually necessity gowait serious reppurcussions
0,really tot ur paper ended long ago wat u copied jus got use u happy lar still haf study
0,customer place call
0,k u bored come home
0,g want know fuck
0,thanx day u r goodmate think ur rite sary asusual u cheered love u franyxxxxx
0,nice day today love dearly
0,tell shola please go college medicine visit academic department tell academic secretary current situation ask transfer ask someone check sagamu thing lautech vital completes medical education nigeria less expensive much less expensive unless getting citizen rate new zealand
0,check got detailed message
0,might come kerala daysso prepared take leave finalise dont plan travel visitneed finish urgent work
0,way ur home
0,wat time u wan meet later
0,yeah ill leave couple minute amp let know get mu
0,gud mrng dear hav nice day
0,jus an lar ull noe later
0,tirupur call da
0,hello news job making wait fifth week yeah im woozles weasel exeter still home
1,mila age blonde new uk look sex uk guy u like fun text mtalk pptxt st free â£ increment help
0,hi theyre keen go kind feel shouldnt go tomo dont mind
1,kit strip billed p netcollex ltd po box ig oja
0,hi dear saw dear happy battery low
0,absolutely love south park recently started watching office
0,ok omw castor
0,officewhats mattermsg nowi call break
0,ok
0,there point hangin mr right he makin u happy
0,greatest test courage earth bear defeat without losing heartgn tc
0,lol always convincing
0,cooked rather nice salmon la
0,mean fat head
0,hey dont go watch x men lunch haha
0,thinking going reg pract lesson flung advance haha wat time u going
1,hot live fantasy call p per min ntt ltd po box croydon cr wb national rate call
0,still grinder
1,urgent mobile awarded â£ bonus caller prize final try contact u call landline boxwrc ppm
0,wats da model num ur phone
1,customer service announcement recently tried make delivery unable please call reschedule ref
0,oh yes speak txt u hmm u get email
0,v skint fancied bevieswaz gona go meet othrs spoon jst bin watchng planet earthsofa v comfey dont make hav gd night
0,rat hey u ever vote next theme
0,wanted ask ã¼ wait finish lect co lect finish hour anyway
0,usually take fifteen fucking minute respond yes question
1,private account statement xxxxxx show unredeemed point call identifier code expires
0,pls speak wont ask anything friendship
1,free top ringtone sub weekly ringtoneget st week freesend subpoly per weekstop sm
0,youve already got flaky parent itsnot supposed child job support parentnot theyre ride age anyway im supposed support ive hurt unintentional hurt nonetheless
0,dunno wat get
0,home always chat
1,nd time tried contact u u â£ prize claim easy call p per minute btnationalrate
0,havent found way get another app phone eh go net cafe take job geeee need babe crave see
0,seems unnecessarily hostile
0,need come home give good lovin
0,im eatin lor goin back work soon e mountain deer show huh watch b liao nice
0,k sure relative home sm de pls
0,sweet heart
0,hello boytoy geeee miss already woke wish bed cuddling love
0,maybe westshore hyde park village place near house
0,nice new shirt thing wear nudist themed mu
0,started skye
0,could seen mei didt recognise face
1,p alfie moon child need song ur mob tell ur m txt tone charity nokias poly charity polys zed profit charity
1,hello need posh bird chap user trial prod champneys put need address dob asap ta r
1,urgent please call landline â£ cash holiday await collection c sae po box mxy
0,im wait till bus pick
0,ummmawill call check inour life begin qatar pls pray hard
0,ok ask abt e movie u wan ktv oso
0,aiyah u ok already lar e nydc wheellock
0,yun buying school got offer plus
1,ur hmv quiz cashbalance currently â£ maximize ur cashin send hmv pmsg
1,u nokia plus free digital camera u get u win free auction take part send nokia poboxtcrw
0,dear friend sorry late information today birthday loving arpraveesh detail log face book see number ltgt dont miss delicious treat
0,im aight wats happening side
0,save stress person dorm account send account detail money sent
0,know dat feelin pete wuld get em nuther place nuther time mayb
0,confirm eating esplanade
0,anything lor toa payoh got place walk meh
0,life mean lot love life love people life world call friend call world ge
1,hot live fantasy call p per min ntt ltd po box croydon cr wb national rate call
1,link picture sent also use httpaltocoukwavewaveaspo
0,hey free call
0,head straight
0,hi dahow today class
1,thanks ringtone order ref number r mobile charged â£ tone arrive please call customer service
0,yeah basically time next week get away mom amp get
1,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
0,cant right second gotta hit people first
0,shall call dear food
1,final chance claim ur â£ worth discount voucher today text yes savamob member offer mobile c savamob pobox muz â£ sub
1,free msgwe billed mobile number mistake shortcode please call charge refundedthis call free bt landline
0,sorry mate phone didnt write love kate
0,issue right ill fix tomorrow
0,co darren say ã¼ considering mah ask ã¼
0,ok thats great thanx lot
1,want new nokia colour phone deliveredtomorrow free minute mobile free text free camcorder reply call
0,haha first person gonna ask
0,marrow wed ltgt aha
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,yes reg ciao
0,hex place talk explain
0,hello sort town already dont rush home eating nacho let know eta
0,know dad back
0,aiyar dun disturb u liao thk u lot aft ur cupboard come
0,thinking chuckin ur red green n black trainners save carryin bac train
0,valuable affectionate loveable eternal noble truthful intimate natural enamous happy valentine day advance
0,iâm parked next mini coming today think
0,yo around got car back
1,hello orange month free access game news sport plus free text photo message reply yes term apply wwworangecoukow
0,slaaaaave must summon time dont wish come anymore
0,sorry going home first daddy come fetch ã¼ later
0,sent like
0,thanx puttin da fone
0,entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went
0,bring got
0,weekend fine excuse much decorating
0,message truro hospital ext phone phone side
0,great hear settling well whats happenin wit ola
0,anyone call treadmill say youll buy make sure working found ad craigslist selling ltgt
0,neshanthtel r u
0,true easier
0,howz person story
0,sorry ill call later
1,day euro kickoff u kept informed latest news result daily unsubscribe send get euro stop
0,tension ahwhat machiany problem
0,k might come tonight class let early
0,hard believe thing like say lie think twice saying anything
1,urgent ur awarded complimentary trip eurodisinc trav acoentry â£ claim txt dis â£morefrmmob shracomorsglsuplt l aj
0,career tel added u contact indyarockscom send free sm remove phonebook sm ltgt
0,good night dear sleepwellamptake care
0,meet corporation st outside gap â¦ see mind working
1,free top polyphonic tone call national rate get toppoly tune sent every week text subpoly â£ per pole unsub
0,yes baby need stretch open pussy
0,uncle atlanta wish guy great semester
1,congratulation ur awarded either yr supply cd virgin record mystery gift guaranteed call tscs wwwsmsconet â£pm approx min
0,check audreys status right
1,ur chance win â£ cash every wk txt action tscs wwwmovietriviatv custcare xpwk
0,hey happen de alright
1,uâve bin awarded â£ play instant cash call claim every th player win min â£â£ optout
0,noe la u wana pei bf oso rite k lor day den
1,please call customer service representative ampm guaranteed â£ cash â£ prize
0,im office call ltgt min
0,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
0,alex know guy sell mids he south tampa dont think could set like
0,wonder world th th ur style th ur smile th ur personality rd ur nature nd ur sm st ur lovely friendship good morning dear
0,fetch yun u fetch
0,badrith chennaii surely pick usno competition
0,nohe joined today
0,tessypls favor pls convey birthday wish nimyapls dnt forget today birthday shijas
0,call plz number show coveragd area urgnt call vasai amp reach clock call plz
0,sign maturity start saying big thing actually start understanding small thing nice evening bslvyl
0,go n buy juz buy get lar
0,ok msg u b leave house
0,happened yo date
0,waqt se pehle naseeb se zyada kisi ko kuch nahi miltazindgi wo nahi jo hum sochte hai zindgi wo hai jo ham jeetey hai
0,ok im gonna head usf like fifteen minute
0,new deus ex game comin early next yr
0,think still car
0,someone smoke every time ive smoked last two week calling texting wanted smoke
0,waiting call
0,got fujitsu ibm hp toshiba got lot model say
0,operate ltgt
0,remember day
0,k marrow coming class
0,take care sleep wellyou need learn change lifeyou need get convinced thati wait conversation usget convinced timeyour family many sensesrespect overemphasiseor u role life
0,nothing getting msg dis name wit different no
0,type stuff sing
0,k still loving
0,nope meanwhile talk say make greet
0,im diet ate many slice pizza yesterday ugh im always diet
0,hey leave big deal take care
0,ill probably tomorrow even later tonight somethings going
0,yeah imma come cause jay want drug
0,really need shit tomorrow know wont awake like
0,hi neva worry bout da truth coz truth lead ur heart itâs least unique person like u deserve sleep tight morning
0,even friend priest call
0,okay lor wah like def wont let u go haha say term condition
1,thank winner notified sm good luck future marketing reply stop customer service
1,congratulation week competition draw u â£ prize claim call b tcsstop sm ppm
0,hi missed call mumhas beendropping red wine theplace adress
1,mobile mths update latest orange cameravideo phone free save â£s free textsweekend call text yes callback orno opt
0,yar wanted scold u yest late already got zhong se qing u ask b ask ill go w u lor n u still act real
0,hey chief give bell get need talk royal visit st june
0,jay want work first hows sound
0,thanks love torch bold
0,good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseertissco joinedhope fineinshah allahmeet sometimerakheshvisitor india
0,im love im excited day spend make happy
0,ok
0,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wish
0,ok wont call disturb one know avoiding burden
0,u ever get song stuck head reason wont go away til u listen like time
1,new textbuddy chat horny guy ur area p free receive search postcode gaytextbuddycom txt one name
0,cramp stopped going back sleep
0,ok would b lovely u r sure think wot u want drinkin dancin eatin cinema u wot
0,sorry de went shop
0,aight still want get money
0,dunno lei might b eatin wif frens ã¼ wan eat wait ã¼ lar
1,ur chance win â£ cash every wk txt play tscs wwwmusictrivianet custcare xpwk
0,sian aft meeting supervisor got work liao u working
0,think asking gym excuse lazy people jog
0,hi spoke maneesha v wed like know satisfied experience reply toll free yes
0,u talking bout early morning almost noon
0,hey look like wrong one kappa guy number still phone want text see he around
0,also ive sorta blown couple time recently id rather text blue looking weed
0,mum going robinson already
0,draw vai dont think
0,family happiness
0,hi roger cl
0,yet chikkugoing room nw im bus
0,room need
0,k yan jiu liao sat go bugis vill one frm den hop parco nb sun go cine frm den hop orc mrt hip hop
0,liked new house
0,k k sm chat
0,also wheres piece
0,dear heroi leaving qatar tonite apt opportunitypls keep touch ltemailgt kerala
0,he lag thats sad part keep touch thanks skype
0,ki send ltgt min
0,ki deleted contact
0,hi yijue regarding textbook intro algorithm second edition im selling
1,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music
1,asked mobile chatlines inclu free min india cust servs sed yes ler got mega bill dont giv shit bailiff due day â£ want â£
0,ã bot note oredi co juz rem got
0,told number gautham
0,call ltgt min thats ok
0,time week ryan
0,hey want anything buy
0,nothing really making sure everybodys speed
0,blanket sufficient thx
0,enjoy watching playing football basketball anything outdoors
0,yes nigh cant aha
0,make fuck sake x
0,party alex nichols
0,performance award calculated every two monthnot current one month period
0,thk shd ok said plus minus ã¼ leave line paragraph
0,oh k come tomorrow
1,want latest video handset anytime network min half price line rental reply call delivery tomorrow
0,anyway dont think secure anything lemme know want drive south chill
0,gentle baby soon taking ltgt inch deep inside tight pussy
0,discussed mother ah
0,ask keep one maybe thats didnt get message sent glo
0,would really appreciate call need someone talk
0,otherwise part time job natuition
0,see knew giving break time woul lead always wanting miss curfew gonna gibe til one midnight movie gonna get til need come home need getsleep anything need b studdying ear training
0,sorry took long omw
0,get step outta way congrats
0,hiya good day spoken since weekend
0,wat ã¼
0,oh really make air whats talent
0,intrepid duo great time see soon
0,good afternoon loverboy go day luck come way think sweetie send love across sea make smile happy
0,forget tell want need crave love sweet arabian steed mmmmmm yummy
0,ok lor ã¼ reaching message
1,freemsg today day ready im horny live town love sex fun game netcollex ltd p per msg reply stop end
1,congrats mobile g videophones r call videochat wid mate play java game dload polyph music noline rentl
0,hi way u day normal waythis real ur uniquei hope know u rest mylife hope u find wot lost
0,finish liao u
0,escape theatre going watch kavalan minute
0,dunno lei like dun haf
0,arun u transfr amt
0,gr see message r u leaving congrats dear school wat r ur plan
0,anything lor coming
1,mila age blonde new uk look sex uk guy u like fun text mtalk pptxt st free â£ increment help
0,yeah get random dude need change info sheet party ltgt never study safe
0,room
0,actually send reminder today wonderful weekend
1,chance reality fantasy show call p per min ntt ltd po box croydon cr wb national rate call
0,shit babe thasa bit messed upyeh shudvetold u urgran knowneway illspeak umoro wen im asleep
0,apps class varaya elaya
0,so amount get pls
0,erutupalam thandiyachu
0,lmao fun
0,u find sitter kaitlyn sick slept day yesterday
0,yeah imagine would really gentle unlike doc treat patient like turkey
0,finish already yar keep saying mushy embarrassed ok
0,ok ill send ltdecimalgt ok
0,cool like swimming pool jacuzzi house
0,allo braved bus taken train triumphed mean weâre bâham jolly good rest week
0,lost pound since doc visit last week woot woot im gonna celebrate stuffing face
1,life never much fun great came made truly special wont forget enjoy one gbpsms
0,gosh pain spose better come
0,talk atleast day otherwise miss best friend world shakespeare shesil ltgt
0,sleepingand surfing
0,oh howda gud gud mathe en samachara chikku
0,motivate behind every darkness shining light waiting find behind every best friend always trust love bslvyl
1,jamster get free wallpaper text heart tc apply need help call
0,wat late still early mah juz go dinner lor aiya dunno
0,think tantrum finished yeah ill point
0,hows queen going royal wedding
0,fffff text kadeem far gone
0,well right im gonna get check today steam salespee text want come get
0,gift trying get throw cliff something
0,also bringing galileo dobby
0,dont know come ask question like dont mistake
0,hi shanilrakhesh herethanksi exchanged uncut diamond stuffleaving back excellent service dino prem
0,sort code acc bank natwest reply confirm ive sent right person
0,vikky come around lttimegt
0,therell minor shindig place later tonight interested
0,knowwait check
0,ã¼ come n pick ar
1,new club dont fink met yet b gr c u please leave msg day wiv ur area reply promised carlie x callsâ£minmobsmore lkpoboxhpfl
0,dear call tmorrowpls accomodate
0,alrite hunnywot u nite didnt end goin town jus da pub instead jus chillin da mo bedroomlove jen xxx
0,got got colour lor one colour quite light n e darker lor actually im done shes styling hair
0,came hostel going sleep plz call class hrishi
0,
0,slave want take picture today bright light cell phone bright light
0,ã¼ go buy wif meet ã¼ later
0,hiya u paying money account thanks got pleasant surprise checked balance u c dont get statement acc
0,running managed minute needed oxygen might resort roller option
0,r u sure theyll understand wine good idea slurp
0,carlos say hell mu ltgt minute
0,yar lor actually quite fast co da ge slow wat haha
0,wait msg ltgt min
1,urgent trying contact u today draw show â£ prize guaranteed call land line claim valid hr
0,â¦ r stayin extra week back next wed rugby weekend hi c u soon
1,cd u congratulation ur awarded â£ cd gift voucher â£ gift guaranteed freeentry â£ wkly draw xt music tncs wwwldewcomwinppmxage
0,got gas money chance gang want go grand nature adventure
0,neft transaction reference number ltgt r ltdecimalgt credited beneficiary account ltgt lttimegt ltgt
0,double eviction week spiral michael good riddance
0,sorry ill call later
0,okay wait ah
1,updatenow mths half price orange line rental minscall mobileupd calloptoutjq
0,dis yijue jus saw ur mail case huiming havent sent u num dis num
0,im see cant see maybe reboot ym seen buzz
0,would ip address test considering computer isnt minecraft server
0,wiskey brandy rum gin beer vodka scotch shampain wine kudiyarasu dhina vaazhthukkal
0,u wan haf lunch im da canteen
0,yes princess want make happy
0,sorry im free
0,staying town
1,new message please call
0,except there chick huge boob
0,know god created gap finger one made come amp fill gap holding hand love
0,meeting ã¼ rite ill go home lor ã¼ dun feel like comin ok
0,hope good week checking
0,u love someone dont make love u much u love much dont want loved anyone except gud nit
0,nothing got msg frm tht unknown
0,yep get program youre slacking
0,hi darlin finish u pick meet text back number luv kate xxx
0,sir waiting mail
0,hate call didnt accept even single call mine even messaged
0,pls need dat slowly vomit
0,hey darlin pick u college u tell wen mt love pete xx
1,phony â£ award today voda number ending xxxx selected receive â£ award match please call quoting claim code standard rate app
0,height confidence aeronautics professor wer calld amp wer askd sit aeroplane aftr sat wer told dat plane w made student dey hurried plane bt didnt move saidif made studentsthis wont even start datz confidence
1,freeringtonereply real
0,pandy joined w technology todayhe got job
0,noice text youre
0,tuition hm go one mind
0,ok ill tell company
0,oh wow thats gay firmware update help
0,gonna ring weekend wot
0,outside office take
0,ill call evening ill idea
1,urgent ur â£ guaranteed award still unclaimed call closingdate claimcode mm â£pmmorefrommobilebremovedmobypoboxlsyf
0,please protect ethreats sib never asks sensitive information like passwordsatmsms pin thru email never share password anybody
0,people tour thought sofa thing sent curious sugar
0,merry christmas u annie
0,thats fine give call know want question
1,free video camera phone half price line rental mths cross ntwk min txts call mobileupd calloptout
0,full heat pa applyed oil pa
0,nite nite pocay wocay luv u n e thing eva promise ring u morrowxxxx
0,really hope work doesnt get stressful gr day
0,aiyo bit pai seh ã¼ noe scared dun rem die hee become better lookin oredi leh
0,many thing antibiotic used chest abdomen gynae infection even bone infection
0,okie
0,much r ã¼ willing pay
0,thanx u darlinim cool thanx bday drink nite morrow take care c u soonxxx
0,celebrate bâday else
0,thk em find wtc far weiyi goin e rest dunno yet r ur goin dinner den might b able join
0,hai priya right doctor said pa
0,dont message offer
0,thatâs alrite girl u know gail neva wrongtake care sweet donât worryc u ltr hunlove yaxxx
0,collect ur laptop
